Date,AAA,BBB,US10Y,US2Y,US3M,US10Y2Y,US10Y3M,AAABBB,AAA3M,BBB3M,AAA10Y,BBB10Y,CEBC,eigvalMAX
2000-07-12,0.3976776724021535,0.7833948862367074,-0.6167741794815603,0.23671432839243434,1.4953062170452531,-0.8821802405107964,-2.088136650207384,-1.0922897421299862,-2.11243155849922,-1.6285793903464565,1.510031095134493,1.4316959548668946,-3.110184186041951,-0.44742063380645053
2000-07-13,0.42814433597477847,0.8081087468956112,-0.5433603409234631,0.255836905475447,1.4850268310463128,-0.8395683494891688,-2.009622203992135,-1.083547257495182,-2.0457966396694847,-1.5700374598515439,1.4392129885519795,1.3839434640343966,0.3205340616529288,-5.794040076424247
2000-07-14,0.5324174394061179,0.863701480363471,-0.4280718464456873,0.30127566436432,1.6396965195331406,-0.7972153250321904,-2.0902877620050573,-0.9996145329832098,-2.1820519840171597,-1.767171825344533,1.4264754004305493,1.3371756276072984,-1.1269120523721008,-1.2538189617270803
2000-07-17,0.2689400182242377,0.607009061747533,-0.7512159289787076,0.21778467073066793,1.6507457243490586,-0.9683169146741196,-2.297708755291504,-0.9164664805717525,-2.471249178673097,-2.1281442667207764,1.470015153270188,1.3256931131450043,6.718511850047376,1.6534002000644477
2000-07-18,0.5957810510371311,0.8514734349918948,-0.39371204152088796,0.4714346763332067,1.6130727541308887,-0.9961609736535798,-2.0085652817767836,-0.8341083971393207,-2.042858792058029,-1.724424644483912,1.456602871052958,1.279822577323769,1.7337464440978967,-0.015289758467635996
2000-07-19,0.8119813450637671,0.9700678575963336,-0.11634079258886666,0.5957697186144271,1.5526558970081985,-0.9170918146389987,-1.755341422856972,-0.6770405233792276,-1.7085573229030804,-1.4572608642637361,1.387567625402323,1.1657423506768285,1.1864817452280654,0.4414987995457638
2000-07-20,0.7310253877625635,0.9310982188974689,-0.16005986143596412,0.537302481257988,1.5646249650226294,-0.8741297006184681,-1.788727953979183,-0.7473508230111606,-1.8089278805759883,-1.5276560438220599,1.319638990420145,1.1563280602533963,0.6467586311847512,-1.4683006503540763
2000-07-21,0.724666662713681,0.9241372874215379,-0.1650955194983252,0.5837849765809016,1.6008107757158874,-0.9385152175131845,-1.8208650185604485,-0.7416563629644009,-1.8680899839090788,-1.5965119521585358,1.308398346499712,1.147046498129659,1.7409748313551117,2.5217754036218465
2000-07-24,0.23338986848352938,0.4746623475449289,-0.7721422107693466,0.20786105180670889,1.5884817358734749,-0.966903127938315,-2.1811057463392003,-0.6608568095086262,-2.351498040364324,-2.161834828670282,1.4080040425247384,1.1721258384107056,3.9195448439548413,5.059807900002858
2000-07-25,0.1929139421441698,0.438387877437004,-0.7694166768282525,0.20282570916604878,1.4565619198562,-0.9593995172231087,-2.028173052073593,-0.6555048787245311,-2.168030563440224,-1.9705155196659507,1.3404179406285275,1.1284940293249395,2.711322245569403,3.0838366414983405
